cats are cute
birds are ugly
dogs are vicious
penguins are feathery
fish are slimy
cats are cute
dogs are vicious
penguins are feathery
penguins are feathery
penguins are feathery
cats are cute
penguins are feathery
penguins are feathery
fish are slimy
dogs are vicious
birds are ugly
penguins are feathery
cats are cute
fish are slimy
birds are ugly
penguins are feathery
cats are cute
penguins are feathery
fish are slimy
cats are cute
birds are ugly
penguins are feathery
penguins are feathery
birds are ugly
fish are slimy
penguins are feathery
birds are ugly
fish are slimy
penguins are feathery
penguins are feathery
birds are ugly
dogs are vicious
fish are slimy
cats are cute
penguins are feathery
birds are ugly
dogs are vicious
cats are cute
fish are slimy
birds are ugly
fish are slimy
dogs are vicious
dogs are vicious
penguins are feathery
dogs are vicious
cats are cute
fish are slimy
cats are cute
fish are slimy
cats are cute
cats are cute
fish are slimy
dogs are vicious
birds are ugly
dogs are vicious
dogs are vicious
birds are ugly
penguins are feathery
birds are ugly
dogs are vicious
fish are slimy
fish are slimy
birds are ugly
dogs are vicious
fish are slimy
birds are ugly
cats are cute
birds are ugly
dogs are vicious
cats are cute
cats are cute
penguins are feathery
cats are cute
fish are slimy
fish are slimy
dogs are vicious
cats are cute
birds are ugly
birds are ugly
dogs are vicious
dogs are vicious
cats are cute
fish are slimy
birds are ugly
dogs are vicious
penguins are feathery
birds are ugly
fish are slimy
cats are cute
dogs are vicious
penguins are feathery
fish are slimy
dogs are vicious
birds are ugly
cats are cute
